City_ID,City,Country,Max Temp,Current Discription,Lat,Lng,Hotel Name
2,Albany,US,88.92,broken clouds,42.6001,-73.9662,"""CASA CORITA"""
6,Hithadhoo,MV,83.55,broken clouds,-0.6,73.0833,Scoop Guest House
12,Bhinmal,IN,85.98,few clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
16,Tual,ID,81.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
19,Itarema,BR,87.48,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
29,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
34,Erzin,TR,82.92,clear sky,36.9559,36.2,Artemis Otel
44,Victoria,HK,84.18,few clouds,22.2855,114.1577,Mini Hotel Central
54,Paciran,ID,80.31,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
56,Jining,CN,84.34,scattered clouds,35.405,116.5814,Yunhe Star Hotel
63,Yaan,NG,83.41,overcast clouds,7.3833,8.5667,"""CASA CORITA"""
77,Birao,CF,89.69,scattered clouds,10.2849,22.7882,"""CASA CORITA"""
86,Port Blair,IN,84.24,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
93,Vila Velha,BR,81.97,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
100,Bandarbeyla,SO,80.82,clear sky,9.4942,50.8122,JABIR HOTEL
101,Jamestown,US,82.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
116,Polonnaruwa,LK,80.29,overcast clouds,7.9333,81.0,Thisara Guest House
122,Saint Anthony,US,84.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
123,Muscat,OM,87.82,clear sky,23.6139,58.5922,Mutrah Hotel
133,Tebingtinggi,ID,80.65,broken clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
136,Machalpur,IN,88.38,broken clouds,24.1333,76.3,New Trimurti Bhojnalaya
137,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
147,Havelock,US,85.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
149,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
150,Namibe,AO,83.03,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
152,San Patricio,US,86.92,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
155,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
165,Kasongo-Lunda,CD,85.68,broken clouds,-6.4667,16.8167,"""CASA CORITA"""
166,Goderich,CA,84.04,broken clouds,43.7501,-81.7165,Harmony Inn
167,Avera,US,85.95,overcast clouds,33.194,-82.5271,"""CASA CORITA"""
172,Salalah,OM,86.09,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
176,Batticaloa,LK,84.06,overcast clouds,7.7102,81.6924,Grand Star Guest House
178,Takoradi,GH,83.53,broken clouds,4.8845,-1.7554,Raybow International Hotel
180,Crotone,IT,82.35,clear sky,39.0851,17.1178,Helios Hotel
194,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
200,Libreville,GA,82.42,light rain,0.3925,9.4537,Hotel Re-Ndama
201,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
202,Tiruchchirappalli,IN,86.11,haze,10.8167,78.6833,Sangam Hotel
203,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
205,Aksu,CN,83.08,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
209,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
211,Faanui,PF,80.56,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
215,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
216,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
222,Salinopolis,BR,84.72,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
228,Zhoucheng,CN,87.64,broken clouds,35.9122,116.3117,Yingbin Restaurant
232,Mwanza,TZ,80.65,few clouds,-2.5167,32.9,Gold Crest Hotel
235,Buriti Dos Lopes,BR,87.55,clear sky,-3.175,-41.8669,Pousada Alves
239,La Asuncion,VE,80.01,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
240,Calatayud,ES,80.55,clear sky,41.3535,-1.6432,Hotel Monasterio Benedictino
256,Carutapera,BR,84.52,few clouds,-1.195,-46.02,Lidera
258,Kingston,JM,88.16,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
266,Bani,DO,86.86,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
268,Gigmoto,PH,80.74,overcast clouds,13.7796,124.39,Cj's Travellers Inn
281,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
282,Xicotencatl,MX,87.53,broken clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
293,Kulhudhuffushi,MV,82.63,overcast clouds,6.6221,73.07,Haajy Guest House 1
299,Soyo,AO,82.45,broken clouds,-6.1349,12.3689,Hotel Mpampa
301,Miracema,BR,81.7,broken clouds,-21.4122,-42.1967,Novo Hotel Varandas
302,Ladario,BR,84.49,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
303,Acapulco,MX,87.58,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
320,Marsh Harbour,BS,80.51,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
332,North Branch,US,86.07,clear sky,45.5113,-92.9802,AmericInn by Wyndham North Branch
338,Caravelas,BR,80.67,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
344,Port Huron,US,87.15,clear sky,42.9709,-82.4249,Fairfield Inn by Marriott Port Huron
346,Capul,PH,82.67,overcast clouds,12.4237,124.1811,Casa Romiya
349,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
353,Arys,KZ,84.42,scattered clouds,42.4252,68.795,Gostinitsa
360,Salvador,SV,82.8,overcast clouds,13.8333,-88.9167,Chico's Ranch
371,Vila Do Maio,CV,84.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
372,Chikhli,IN,86.13,overcast clouds,20.35,76.25,Madarsa Block
377,Muli,MV,83.05,few clouds,2.9167,73.5667,Medhufushi Island Resort
382,Vinh,VN,80.62,broken clouds,18.6667,105.6667,Khách Sạn Thương Mại
390,Kadhan,PK,87.66,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
393,Hamilton,US,85.23,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
395,Lazaro Cardenas,MX,88.12,broken clouds,17.9583,-102.2,quinta antigua
398,Amapa,BR,88.84,broken clouds,1.0,-52.0,"""CASA CORITA"""
399,Iquitos,PE,80.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
404,Alice Town,BS,80.58,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
405,Berlin,DE,82.42,clear sky,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
409,Tsevie,TG,85.08,overcast clouds,6.4261,1.2133,Hotel Melissa
423,Cururupu,BR,89.01,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
425,Fare,PF,80.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
428,Zhanakorgan,KZ,87.06,scattered clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
432,Morros,BR,88.59,few clouds,-9.4467,-46.3003,"""CASA CORITA"""
434,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
439,Sao Jose Da Coroa Grande,BR,81.1,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
444,Akyab,MM,84.18,broken clouds,20.15,92.9,Hotel Memory
451,Veraval,IN,85.41,clear sky,20.9,70.3667,Lords Inn Somnath
459,Tucuma,BR,86.4,scattered clouds,-0.1833,-50.05,"""CASA CORITA"""
468,Labuhan,ID,80.11,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
476,Luanda,AO,84.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
481,Piney Green,US,85.95,broken clouds,34.716,-77.3202,Holiday City Mobile Home Community
488,Sur,OM,86.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
491,Buchanan,LR,80.56,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
496,Dickinson,US,87.04,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
499,Banda Aceh,ID,80.42,overcast clouds,5.5577,95.3222,Sulthan Hotel International
500,Bhadrak,IN,89.08,broken clouds,21.0633,86.5054,Hotel bluevine
504,Umm Lajj,SA,84.67,clear sky,25.0213,37.2685,Moon light Furnished Units
513,Marzuq,YE,89.2,clear sky,14.4,46.4667,"""CASA CORITA"""
515,Abha,SA,80.42,few clouds,18.2164,42.5053,Abha Hotel
520,Aguilas,ES,88.2,clear sky,37.4063,-1.5829,Hotel Carlos III
522,Minudasht,IR,81.97,broken clouds,37.2289,55.3747,Esteghlal Hotel Minoudasht
524,Kampot,KH,86.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
528,Turbat,PK,86.38,clear sky,26.0023,63.044,Mubashar Quarters
534,Augusto Correa,BR,86.72,few clouds,-1.0217,-46.635,Fazenda Bacuri
536,Miragoane,HT,82.18,clear sky,18.4423,-73.0876,MMM K-TICHON
543,Faya,SA,80.71,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
551,Ullal,IN,83.35,few clouds,12.8,74.85,AK INTERNATIONAL LODGE
566,Pecos,US,84.29,clear sky,31.4229,-103.4932,Knights Inn Pecos
567,Gunjur,GM,87.87,few clouds,13.2019,-16.7339,Kuba Lodge
578,Porlamar,VE,80.06,overcast clouds,10.958,-63.8491,Hotel Bella Vista
582,Arak,IR,80.19,clear sky,34.0917,49.6892,خانه سازمانهای غیر دولتی استان مرکزی
587,Wattegama,LK,81.52,overcast clouds,6.7989,81.4808,"""CASA CORITA"""
589,Celestun,MX,88.11,broken clouds,20.8667,-90.4,Posada Lilia
590,Calderitas,MX,86.0,overcast clouds,18.55,-88.25,Hotel Hacienda Campestre
591,Piacabucu,BR,81.64,clear sky,-10.4056,-36.4344,Piaçabuçu News
596,Uthal,PK,86.76,broken clouds,25.8072,66.6219,Al Madina Hotal
597,Ratnagiri,IN,83.21,overcast clouds,16.9833,73.3,Hotel Landmark
598,Guayaramerin,BO,87.85,scattered clouds,-10.8368,-65.3614,Hostal Funf
600,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
605,Kalmunai,LK,83.19,overcast clouds,7.4167,81.8167,VS Villa
607,Vaitape,PF,80.56,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
608,Basco,PH,82.81,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
617,Muros,ES,80.69,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
620,Maragogi,BR,80.85,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
625,Puerto Leguizamo,CO,85.77,overcast clouds,-0.1934,-74.7819,la casona de juancho
626,Nurobod,UZ,86.85,overcast clouds,40.9056,69.8023,"""CASA CORITA"""
628,Caraballeda,VE,82.47,broken clouds,10.6112,-66.8522,Hotel 15 Letras
639,Axim,GH,83.71,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
642,Harper,LR,81.93,light rain,4.375,-7.7169,Screensaver
644,Humaita,BR,86.88,broken clouds,-7.5061,-63.0208,Corrêa Hotel
646,Monrovia,LR,80.37,moderate rain,6.3005,-10.7969,Sunset Inn
647,Farmington,US,85.1,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
648,Riachao Das Neves,BR,89.13,broken clouds,-11.7461,-44.91,Casa Costa
654,Manzanillo,CU,85.28,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
655,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
656,Hambantota,LK,82.74,clear sky,6.1241,81.1185,Bungalow 63
662,Ishigaki,JP,81.0,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
663,Zomin,UZ,87.49,broken clouds,39.9606,68.3958,Orol hotel
666,Riviera Beach,US,89.08,scattered clouds,26.7753,-80.0581,Marriott's Ocean Pointe
667,Iralaya,HN,86.09,scattered clouds,15.0,-83.2333,Iglesia morava renovada
672,Exu,BR,80.87,overcast clouds,-7.5119,-39.7242,Pousada Albuquerque
673,Kollam,IN,82.27,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
676,Hilton Head Island,US,86.11,overcast clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
677,Abu Samrah,SY,80.17,clear sky,35.3029,37.1841,"""CASA CORITA"""
689,Bubaque,GW,80.1,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
690,Pandan Niog,PH,83.55,broken clouds,6.2282,120.5631,"""CASA CORITA"""
697,Jala,MX,84.02,overcast clouds,21.0833,-104.4333,"""CASA CORITA"""
